cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
8668	S1047	1	no matches		no matches		no matches		no matches		no matches		no matches	
8677	S1048	1	no matches		no matches		no matches		no matches		no matches		no matches	
8682	S1049	1	no matches		no matches		no matches		no matches		no matches		no matches	
8688	S1050	1	no matches		no matches		no matches		no matches		no matches		no matches	
8692	S1051	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Hybrid peptides	1.0	Hybrid peptides	1.0	Aromatic heteromonocyclic compounds	1.0
8697	S1052	1	no matches		no matches		no matches		no matches		no matches		no matches	
8698	S1053	1	no matches		no matches		no matches		no matches		no matches		no matches	
8724	S1054	1	no matches		no matches		no matches		no matches		no matches		no matches	
8733	S1055	1	no matches		no matches		no matches		no matches		no matches		no matches	
8738	S1056	1	no matches		no matches		no matches		no matches		no matches		no matches	
8739	S1057	1	no matches		no matches		no matches		no matches		no matches		no matches	
8740	S1058	1	no matches		no matches		no matches		no matches		no matches		no matches	
8745	S1059	1	no matches		no matches		no matches		no matches		no matches		no matches	
8746	S1060	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteromonocyclic compounds	1.0
8751	S1061	1	no matches		no matches		no matches		no matches		no matches		no matches	
8752	S1062	1	no matches		no matches		no matches		no matches		no matches		no matches	
8753	S1063	1	no matches		no matches		no matches		no matches		no matches		no matches	
8773	S1064	1	no matches		no matches		no matches		no matches		no matches		no matches	
8783	S1065	1	no matches		no matches		no matches		no matches		no matches		no matches	
8788	S1066	1	no matches		no matches		no matches		no matches		no matches		no matches	
8790	S1067	1	no matches		no matches		no matches		no matches		no matches		no matches	
8793	S1068	1	no matches		no matches		no matches		no matches		no matches		no matches	
8811	S1069	1	no matches		no matches		no matches		no matches		no matches		no matches	
8814	S1070	1	no matches		no matches		no matches		no matches		no matches		no matches	
8817	S1071	1	no matches		no matches		no matches		no matches		no matches		no matches	
8818	S1072	1	no matches		no matches		no matches		no matches		no matches		no matches	
8847	S1073	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8857	S1074	1	no matches		no matches		no matches		no matches		no matches		no matches	
8905	S1075	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteromonocyclic compounds	1.0
8906	S1076	1	no matches		no matches		no matches		no matches		no matches		no matches	
8910	S1077	1	no matches		no matches		no matches		no matches		no matches		no matches	
8920	S1078	1	no matches		no matches		no matches		no matches		no matches		no matches	
8934	S1079	1	no matches		no matches		no matches		no matches		no matches		no matches	
8936	S1080	1	no matches		no matches		no matches		no matches		no matches		no matches	
8975	S1081	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8982	58	3	Organic compounds	0.6666666666666666	Lipids and lipid-like molecules	0.3333333333333333	Steroids and steroid derivatives	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.3333333333333333
9191	58	3	Organic compounds	0.6666666666666666	Lipids and lipid-like molecules	0.3333333333333333	Steroids and steroid derivatives	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.3333333333333333
9298	58	3	Organic compounds	0.6666666666666666	Lipids and lipid-like molecules	0.3333333333333333	Steroids and steroid derivatives	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Steroidal glycosides	0.3333333333333333	Aliphatic heteropolycyclic compounds	0.3333333333333333
8988	S1082	1	no matches		no matches		no matches		no matches		no matches		no matches	
9008	S1083	1	no matches		no matches		no matches		no matches		no matches		no matches	
9015	S1084	1	no matches		no matches		no matches		no matches		no matches		no matches	
9025	S1085	1	no matches		no matches		no matches		no matches		no matches		no matches	
9044	S1086	1	no matches		no matches		no matches		no matches		no matches		no matches	
